Time,Irradiance,Zenith,Azimuth,Temperature,Wind Speed
2023-07-30 14:00,0.288,39.83485861387251,225.35174448076717,19.837,12.518
2023-07-22 05:00,0.044,83.76000812827444,64.8652953243818,13.73,6.475
2023-07-22 17:00,0.097,64.2316282562736,270.71388194214694,16.661,11.79
2023-07-12 17:00,0.262,63.09584950341459,272.1535428640833,19.498,10.354
2023-07-20 18:00,0.077,73.25237363635821,282.31326077920266,19.443,4.62
2023-07-24 05:00,0.094,84.08740790394593,65.09974935257713,15.335,6.366
2023-07-27 12:00,0.594,32.05819003376334,177.6960721723708,21.678,11.552
2023-07-12 05:00,0.1709999999999999,82.32188849874142,64.00504822732171,14.458,7.399
2023-07-09 10:00,0.51,37.51388053260379,128.6454258615563,20.077,5.316
2023-07-21 10:00,0.765,39.270206035825545,129.8319594253034,19.297,6.211
