Time,Irradiance,Zenith,Azimuth,Temperature,Wind Speed,Power
2023-01-07 09:00,0.032,83.90727282451023,137.87900699642984,9.658,16.525,7.051676612418235
2023-01-07 10:00,0.025,78.49015070468263,150.76461811965794,9.433,16.903,5.717211351865591
2023-01-07 11:00,0.031,74.93219371897187,164.5249254920452,9.159,16.88,6.9761466567971215
2023-01-07 12:00,0.024,73.57458529968793,178.8560178759044,9.31,16.536,4.195687169639824
2023-01-07 14:00,0.057,77.77336627447832,207.11739547619305,11.211,15.152,14.087120321821978
2023-01-07 15:00,0.028,82.91846675451464,220.1571669366764,10.62,14.377,6.514577042835563
2023-01-08 09:00,0.069,83.83705232590599,137.73118467216125,8.841,12.905,14.665438922364213
2023-01-08 10:00,0.1159999999999999,78.40019409926319,150.62563627537992,9.242,13.21,28.798040254095298
2023-01-08 11:00,0.144,74.82193743801145,164.40008683647375,9.533,13.654,36.456950887577584
2023-01-08 12:00,0.15,73.44540102688912,178.75150405985846,9.644,14.322,36.75888840527664
2023-01-08 13:00,0.096,74.41045201875427,193.1546787481643,9.468,14.934,22.006367705664253
2023-01-08 14:00,0.052,77.61815514797513,207.06326693322447,9.125,14.548,12.780639336057874
2023-01-09 09:00,0.0839999999999999,83.7589089445623,137.58161144726864,6.282,10.352,17.263242431113156
2023-01-09 10:00,0.165,78.3023662203367,150.485830174959,6.903,10.75,35.240456888392984
2023-01-09 11:00,0.2279999999999999,74.70388722770045,164.2755665775751,7.631,11.543,59.079179990646175
2023-01-09 12:00,0.2339999999999999,73.30869729878589,178.64859196164798,8.088,12.254,45.015285012913814
2023-01-09 13:00,0.193,74.25893245017548,193.07780081817577,8.122,12.197,28.54371572556335
2023-01-09 14:00,0.1139999999999999,77.45686131844954,207.0130781094724,7.719,11.853,20.252021196435923
2023-01-09 15:00,0.03,82.59266897409799,220.09989447083427,6.857,11.665,6.550037191216408
2023-01-10 10:00,0.028,78.1977934931321,150.345280910108,6.344,14.831,6.704751116773503
2023-01-10 11:00,0.029,74.57885528929319,164.15144043818395,7.047,14.784,6.806124635860805
2023-01-10 12:00,0.03,73.16536833468764,178.5473532274366,8.942,13.539,6.912476673164358
