,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time,time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,irradiance_global_horizontal,irradiance_direct_normal 
3656,44.727893007903326,44.74426890229198,45.272106992096674,45.25573109770802,113.6201872080681,2.0413721665536286,2023-06-02 08:00,2023-06-02 09:00,0.612,0.563,0.081,13.271,0.6439999999999999,0.7924477230466715
3657,36.79947062925272,36.81180242730434,53.20052937074728,53.18819757269566,131.1762739421041,2.0348233008990064,2023-06-02 09:00,2023-06-02 10:00,0.717,0.692,0.082,14.265,0.7739999999999999,0.8642039542443612
3658,31.068355452923882,31.078258375826323,58.93164454707612,58.92174162417368,153.99627542996745,2.028263669075386,2023-06-02 10:00,2023-06-02 11:00,0.785,0.781,0.083,15.105,0.864,0.9117949461190918
3659,29.061406961697024,29.070519034638217,60.938593038302976,60.92948096536178,181.62315240061022,2.0216932871335302,2023-06-02 11:00,2023-06-02 12:00,0.817,0.826,0.085,15.779,0.9109999999999999,0.9449723944858569
3660,31.549457762422534,31.559511965069483,58.450542237577466,58.44048803493052,208.89357278648305,2.0151121707312996,2023-06-02 12:00,2023-06-02 13:00,0.813,0.82,0.087,16.191,0.9069999999999999,0.9622280595451372
3661,37.596882107842085,37.6094848589146,52.403117892157915,52.3905151410854,231.07401398373852,2.00852033564297,2023-06-02 13:00,2023-06-02 14:00,0.776,0.772,0.087,16.322,0.859,0.9743502981373683
3662,45.685513334052764,45.70227289972868,44.314486665947236,44.29772710027132,248.14542585355338,2.001917797839269,2023-06-02 14:00,2023-06-02 15:00,0.705,0.682,0.085,16.19,0.767,0.9762434745270352
3663,54.73072216661565,54.753839218582115,35.26927783338435,35.246160781417885,261.89431192035784,1.9953045730799204,2023-06-02 15:00,2023-06-02 16:00,0.6,0.556,0.084,15.893,0.64,0.9629040755627211
3664,64.08117151817153,64.1147155299325,25.91882848182847,25.8852844700675,273.8289303492993,1.9886806771319243,2023-06-02 16:00,2023-06-02 17:00,0.467,0.408,0.081,15.396,0.489,0.9334304479583945
3665,73.30319465190573,73.3569738594146,16.696805348094266,16.643026140585402,284.9595169211942,1.9820461258859723,2023-06-02 17:00,2023-06-02 18:00,0.313,0.248,0.077,14.645,0.325,0.8631878153885405
